KW,URL,Position,Vol
nursing home inspections,http://projects.propublica.org/nursing-homes/,1,70
nursing home inspections,http://www.medicare.gov/NursingHomeCompare/About/Inspection-Results.html,2,70
nursing home inspections,http://www.medicare.gov/NursingHomeCompare/About/Inspections-and-Complaints-Info.html,3,70
nursing home inspections,https://www.medicare.gov/nursinghomecompare,4,70
nursing home inspections,http://www.carepathways.com/NHx.cfm,5,70
nursing home inspections,http://www.health.state.mn.us/divs/fpc/directory/surveyselect.cfm,6,70
nursing home inspections,http://www.health.state.mn.us/divs/fpc/nursingpamplet.htm,7,70
nursing home inspections,http://healthjournalism.org/blog/2012/08/new-tool-allows-searches-of-nursing-home-inspection-reports/,8,70
nursing home inspections,http://www.cms.gov/Medicare/Provider-Enrollment-and-Certification/CertificationandComplianc/NHs.html,9,70
nursing home inspections,http://khn.org/news/inspector-general-report-findings-could-strengthen-nursing-home-inspections/,10,70
nursing home inspections,http://canhr.org/NH_Data/CountyMenuHTML.html,11,70
nursing home inspections,http://kaiserhealthnews.org/2014/08/another-audit-finds-fault-with-nursing-home-inspections-in-los-angeles-county/,12,70
nursing home inspections,http://www.dailynews.com/health/20141030/california-audit-faults-health-officials-handling-of-nursing-home-inspections,13,70
nursing home inspections,http://www.reportingonhealth.org/2015/03/25/well-sourced-key-documents-show-results-hospital-nursing-home-inspections,14,70
nursing home inspections,http://www.latimes.com/local/lanow/la-me-ln-county-nursing-home-inspections-20150630-story.html,15,70
nursing home inspections,http://www.latimes.com/local/california/la-me-nursing-home-complaints-20150428-story.html,16,70
nursing home inspections,http://dhss.alaska.gov/dhcs/Pages/hflc/nhsurveyprocess.aspx,17,70
nursing home inspections,http://www.syracuse.com/health/index.ssf/2015/04/bed_sores.html,18,70
nursing home inspections,http://www.health.ny.gov/facilities/nursing/select_nh/appendixa.htm,19,70
nursing home inspections,http://wisconsinwatch.org/2013/02/data-nursing-home-inspections/,20,70
nursing home in maryland,http://www.presbyterianhomeofmd.org,1,170
nursing home in maryland,http://cherrylanenursing.com,2,170
nursing home in maryland,http://futurecare.com,3,170
nursing home in maryland,http://www.charhall.org,4,170
nursing home in maryland,http://www.croftoncrc.com,5,170
nursing home in maryland,http://www.friendshouse.com,6,170
nursing home in maryland,http://www.sanctuaryatholycrossmaryland.org,7,170
nursing home in maryland,http://mhcc.maryland.gov/consumerinfo/longtermcare/NursingHomeRehabilitation.aspx,8,170
nursing home in maryland,http://mhcc.maryland.gov/consumerinfo/longtermcare/SearchPage.aspx?qs=NH,9,170
nursing home in maryland,http://health.usnews.com/best-nursing-homes/area/md,10,170
nursing home in maryland,http://www.aplaceformom.com/nursing-homes/maryland,11,170
nursing home in maryland,http://www.seniorhomes.com/s/maryland/nursing-homes/,12,170
nursing home in maryland,https://www.caring.com/local/nursing-homes-in-maryland,13,170
nursing home in maryland,http://www.carepathways.com/nhg-state-MD.cfm,14,170
nursing home in maryland,http://www.baltimorecountymd.gov/Agencies/aging/housing/nursinghomes.html,15,170
nursing home in maryland,http://www.hfam.org,16,170
nursing home in maryland,https://www.oag.state.md.us/Consumer/nurshome.htm,17,170
nursing home in maryland,http://www.skillednursingfacilities.org/directory/md/,18,170
nursing home in maryland,http://presbyterianhomeofmd.org,19,170
nursing home in maryland,https://www.montgomerycountymd.gov/HHS-Program/Resources/Files/A&D Docs/Ombudsman/NURSING HOMES IN MONTGOMERY COUNTY_3-25-14.pdf,20,170
briarwood nursing home indianapolis,http://www.indiananursinghome.net/find-a-facility/briarwoodhealthandrehab/briarwood-health-rehabilitation-center/,1,70
briarwood nursing home indianapolis,http://health.usnews.com/best-nursing-homes/area/in/briarwood-health-and-rehabilitation-center-155628,2,70
briarwood nursing home indianapolis,https://www.facebook.com/BriarwoodHealthcareCenter,3,70
briarwood nursing home indianapolis,http://www.seniorhousingnet.com/seniorliving-detail/briarwood-health--rehab_3640-n-central-ave_indianapolis_in_46205-525659,4,70
briarwood nursing home indianapolis,http://www.hospital-data.com/hospitals/BRIARWOOD-HEALTH-AND-REHABILIT-INDIA253.html,5,70
briarwood nursing home indianapolis,http://www.yellowpages.com/indianapolis-in/briarwood-nursing-home,6,70
briarwood nursing home indianapolis,http://local-nursing-homes.com/nursing-homes/indiana/indianapolis/155628-briarwood-health-and-rehabilitation-center,7,70
briarwood nursing home indianapolis,https://www.caring.com/local/nursing-homes-in-indianapolis-indiana/briarwood-health-and-rehabilitation-center,8,70
briarwood nursing home indianapolis,http://www.ucomparehealthcare.com/nhs/briarwood_health_and_rehabilitation_center/,9,70
briarwood nursing home indianapolis,http://www.skillednursingfacilities.org/directory/in/indianapolis/briarwood-health-and-rehabilitation-center/155628/,10,70
briarwood nursing home indianapolis,http://nursing-homes.healthgrove.com/l/4134/Briarwood-Health-And-Rehabilitation-Center,11,70
briarwood nursing home indianapolis,http://nursing-homes.healthgrove.com/l/3933/American-Village,12,70
briarwood nursing home indianapolis,http://www.nursinghomesite.com/BRIARWOOD_HEALTH_AND_REHABILITATION_CENTER_INDIANAPOLIS_IN,13,70
briarwood nursing home indianapolis,https://www.ourparents.com/indiana/indianapolis/briarwood_health_and_rehabilitation_center,14,70
briarwood nursing home indianapolis,http://www.agingcare.com/local/Briarwood-Health-and-Rehabilitation-Center-Indianapolis-Nursing-Homes-IN,15,70
briarwood nursing home indianapolis,http://www.seniorhomes.com/c/in/indianapolis/nursing-homes/,16,70
briarwood nursing home indianapolis,http://www.dibbern.com/nursing-homes/indiana/indianapolis_indiana_nursing_homes.htm,17,70
briarwood nursing home indianapolis,http://www.aplaceformom.com/nursing-homes/indiana/indianapolis,18,70
briarwood nursing home indianapolis,https://www.senioradvisor.com/local/briarwood-health-and-rehab-ctr-indianapolis-in,19,70
briarwood nursing home indianapolis,http://nursinghomerating.org/nursing-homes-in-indianapolis-IN.htm,20,70
nursing home in baltimore,http://health.usnews.com/best-nursing-homes/area/baltimore-md,1,40
nursing home in baltimore,http://www.baltimorecountymd.gov/Agencies/aging/housing/nursinghomes.html,2,40
nursing home in baltimore,http://futurecare.com,3,40
nursing home in baltimore,http://keswick-multicare.org,4,40
nursing home in baltimore,http://www.rolandparkplace.org,5,40
nursing home in baltimore,http://alicemanor.autumnlakehc.com,6,40
nursing home in baltimore,http://bluepointnursing.com,7,40
nursing home in baltimore,http://futurecare.com/senior-care-maryland/homewood/6/,8,40
nursing home in baltimore,http://www.genesishcc.com,9,40
nursing home in baltimore,https://futurecare.com,10,40
nursing home in baltimore,http://www.yellowpages.com/baltimore-md/nursing-homes-skilled-nursing-facility,11,40
nursing home in baltimore,https://www.caring.com/local/nursing-homes-in-baltimore-county-maryland,12,40
nursing home in baltimore,"http://www.indeed.com/q-Nursing-Home-l-Baltimore,-MD-jobs.html",13,40
nursing home in baltimore,http://www.carepathways.com/nursing-homes/md/ratings.cfm?county=baltimore,14,40
nursing home in baltimore,http://www.seniorhomes.com/c/md/baltimore/nursing-homes/,15,40
nursing home in baltimore,http://choosekeswick.org,16,40
nursing home in baltimore,http://www.brintonwoods.com,17,40
nursing home in baltimore,http://www.aplaceformom.com/nursing-homes/maryland/baltimore,18,40
nursing home in baltimore,http://nursing-homes.healthgrove.com/d/a/Maryland/Baltimore,19,40
nursing home in baltimore,https://data.baltimorecity.gov/Health/Nursing-Homes/53js-3bkd,20,40
nursing home in worcester ma,http://health.usnews.com/best-nursing-homes/area/worcester-ma,1,50
nursing home in worcester ma,http://www.yellowpages.com/worcester-ma/nursing-homes,2,50
nursing home in worcester ma,http://www.saintfrancisrehab.com,3,50
nursing home in worcester ma,http://dodgepark.com,4,50
nursing home in worcester ma,http://www.knollwoodnursingcenter.com,5,50
nursing home in worcester ma,https://plus.google.com/105539963527243926673/about?hl=en&amp;socfid=web:lu:unknown:localgroupedresult&amp;socpid=1,6,50
nursing home in worcester ma,https://plus.google.com/100162889129949468382/about?hl=en&amp;socfid=web:lu:unknown:localgroupedresult&amp;socpid=1,7,50
nursing home in worcester ma,http://www.oddfellowshomema.com,8,50
nursing home in worcester ma,http://www.salmonfamily.com,9,50
nursing home in worcester ma,http://www.christopherhouse.com,10,50
nursing home in worcester ma,http://www.knollwoodnursingcenter.com,11,50
nursing home in worcester ma,https://www.caring.com/local/nursing-homes-in-worcester-massachusetts,12,50
nursing home in worcester ma,http://www.golocalworcester.com/news/best-and-worst-nursing-homes-in-worcester-federal-study,13,50
nursing home in worcester ma,"http://www.indeed.com/q-Nursing-Home-l-Worcester,-MA-jobs.html",14,50
nursing home in worcester ma,http://dodgepark.com,15,50
nursing home in worcester ma,http://www.athenanh.com/MA_Worcester.aspx,16,50
nursing home in worcester ma,http://www.htnr.net,17,50
nursing home in worcester ma,http://www.aplaceformom.com/nursing-homes/massachusetts/worcester,18,50
nursing home in worcester ma,http://www.briarwoodretirement.com,19,50
nursing home in worcester ma,http://www.christopherhouse.com,20,50
nursing home in long island,http://nursinghomes.nyhealth.gov/searches/county/52,1,50
nursing home in long island,"http://www.indeed.com/q-Nursing-Home-l-Long-Island,-NY-jobs.html",2,50
